"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
1	E	19	measurement	A549_100ng_ml	A549_100ng_ml_rep2_15	1	1	15	2	100ng_ml	A549	100	A549
1	E	20	measurement	A549_100ng_ml	A549_100ng_ml_rep3_15	1.3	1	15	3	100ng_ml	A549	100	A549
1	F	3	measurement	A549_0ng_ml	A549_0ng_ml_rep1_30	1.3	1	30	1	0ng_ml	A549	0	A549
1	F	4	measurement	A549_0ng_ml	A549_0ng_ml_rep2_30	1	1	30	2	0ng_ml	A549	0	A549
1	F	5	measurement	A549_0ng_ml	A549_0ng_ml_rep3_30	1.3	1	30	3	0ng_ml	A549	0	A549
1	F	6	measurement	A549_10ng_ml	A549_10ng_ml_rep1_30	1.3	1	30	1	10ng_ml	A549	10	A549
1	F	7	measurement	A549_10ng_ml	A549_10ng_ml_rep2_30	1	1	30	2	10ng_ml	A549	10	A549
1	F	8	measurement	A549_10ng_ml	A549_10ng_ml_rep3_30	1.3	1	30	3	10ng_ml	A549	10	A549
1	F	9	measurement	A549_25ng_ml	A549_25ng_ml_rep1_30	1.3	1	30	1	25ng_ml	A549	25	A549
1	F	10	measurement	A549_25ng_ml	A549_25ng_ml_rep2_30	1	1	30	2	25ng_ml	A549	25	A549
1	F	11	measurement	A549_25ng_ml	A549_25ng_ml_rep3_30	1.3	1	30	3	25ng_ml	A549	25	A549
1	F	12	measurement	A549_50ng_ml	A549_50ng_ml_rep1_30	1.3	1	30	1	50ng_ml	A549	50	A549
1	F	13	measurement	A549_50ng_ml	A549_50ng_ml_rep2_30	1	1	30	2	50ng_ml	A549	50	A549
1	F	14	measurement	A549_50ng_ml	A549_50ng_ml_rep3_30	1.3	1	30	3	50ng_ml	A549	50	A549
1	F	15	measurement	A549_75ng_ml	A549_75ng_ml_rep1_30	1.3	1	30	1	75ng_ml	A549	75	A549
1	F	16	measurement	A549_75ng_ml	A549_75ng_ml_rep2_30	1	1	30	2	75ng_ml	A549	75	A549
1	F	17	measurement	A549_75ng_ml	A549_75ng_ml_rep3_30	1.3	1	30	3	75ng_ml	A549	75	A549
1	F	18	measurement	A549_100ng_ml	A549_100ng_ml_rep1_30	1.3	1	30	1	100ng_ml	A549	100	A549
1	F	19	measurement	A549_100ng_ml	A549_100ng_ml_rep2_30	1	1	30	2	100ng_ml	A549	100	A549
1	F	20	measurement	A549_100ng_ml	A549_100ng_ml_rep3_30	1.3	1	30	3	100ng_ml	A549	100	A549
1	G	3	measurement	A549_0ng_ml	A549_0ng_ml_rep1_60	1.3	1	60	1	0ng_ml	A549	0	A549
1	G	4	measurement	A549_0ng_ml	A549_0ng_ml_rep2_60	1	1	60	2	0ng_ml	A549	0	A549
1	G	5	measurement	A549_0ng_ml	A549_0ng_ml_rep3_60	1.3	1	60	3	0ng_ml	A549	0	A549
1	G	6	measurement	A549_10ng_ml	A549_10ng_ml_rep1_60	1.3	1	60	1	10ng_ml	A549	10	A549
1	G	7	measurement	A549_10ng_ml	A549_10ng_ml_rep2_60	1	1	60	2	10ng_ml	A549	10	A549
1	G	8	measurement	A549_10ng_ml	A549_10ng_ml_rep3_60	1.3	1	60	3	10ng_ml	A549	10	A549
1	G	9	measurement	A549_25ng_ml	A549_25ng_ml_rep1_60	1.3	1	60	1	25ng_ml	A549	25	A549
1	G	10	measurement	A549_25ng_ml	A549_25ng_ml_rep2_60	1	1	60	2	25ng_ml	A549	25	A549
